Community,Occurrence Births,Resident Births,Low Birthweight3,Teen Births 15-19 yr,Infant Deaths4,Neonatal Deaths5,Fetal Deaths6
WAREHAM,463,215,11,11,3,0,--7
WARREN,1,49,--7,--7,1,1,0
WARWICK,0,3,--7,--7,0,0,0
WASHINGTON,0,4,--7,0,0,0,0
WATERTOWN,2,477,28,--7,3,3,--7
WAYLAND,1,99,--7,--7,0,0,0
WEBSTER,0,188,15,16,0,0,0
WELLESLEY,1,241,15,0,2,2,--7
WELLFLEET,1,18,--7,0,0,0,0
WENDELL,0,5,0,0,0,0,0
WENHAM,1,23,0,0,0,0,0
WEST BOYLSTON,0,52,6,0,0,0,0
WEST BRIDGEWATER,0,78,10,--7,0,0,0
WEST BROOKFIELD,0,35,--7,--7,0,0,0
WEST NEWBURY,0,22,--7,--7,0,0,0
WEST SPRINGFIELD,1,368,37,24,2,2,0
WEST STOCKBRIDGE,0,11,--7,0,0,0,0
WEST TISBURY,0,27,--7,0,0,0,0
WESTBOROUGH,0,187,13,--7,0,0,--7
WESTFIELD,0,403,20,22,2,2,--7
WESTFORD,2,179,11,--7,0,0,--7
WESTHAMPTON,1,14,--7,0,0,0,0
WESTMINSTER,0,52,8,--7,0,0,0
WESTON,1,66,--7,0,0,0,0
WESTPORT,1,101,9,--7,0,0,0
WESTWOOD,0,94,--7,--7,0,0,0
WEYMOUTH,"3,739",622,43,14,2,1,--7
WHATELY,0,13,0,0,0,0,0
WHITMAN,0,166,16,5,1,0,--7
WILBRAHAM,0,89,6,--7,0,0,0
WILLIAMSBURG,2,26,--7,--7,0,0,0
WILLIAMSTOWN,0,35,--7,--7,0,0,0
WILMINGTON,0,248,21,--7,2,1,--7
WINCHENDON,0,106,8,9,1,1,--7
WINCHESTER,"2,049",214,9,0,1,1,0
WINDSOR,0,1,0,0,0,0,0
WINTHROP,0,169,16,7,0,0,0
WOBURN,3,515,46,10,2,1,0
WORCESTER,"5,848","2,477",197,244,14,13,22
WORTHINGTON,0,11,--7,0,0,0,0
WRENTHAM,0,79,7,0,1,1,0
YARMOUTH,1,208,22,12,0,0,--7
